probe,vector_family,layers,alpha,seed,count,readable_ontology_frontier,ontology_collapse_density,syntax_readability_proxy,graph_fragmentation,semantic_loop_pressure,trajectory_revisit_pressure,lineage_bridge,unbridged_novelty,object_budget_pressure,traceable_transport_score,ordinary_anchor_retention,stock_prop_attractor_score,fantasy_prop_score,unfinished
transition_mid,transition,9-15,1.1,The laundry basket by the door,3,0.0,0.0,0.8232372267903577,0.4339619021134595,0.0,0.025138888888888888,0.20833333333333334,0.7000000000000001,0.08888888888888889,0.19606934778284144,0.5,0.0,0.0,0.0
transition_mid,transition,9-15,1.1,The spreadsheet was still open,3,0.0,0.0,0.9097589605734767,0.5225435978247436,0.0,0.0043749999999999995,0.041666666666666664,0.9333333333333332,0.2333333333333333,0.07314277213541666,0.4166666666666667,0.0,0.0,0.0
transition_mid,transition,9-15,1.4,A blue mug near the sink,3,0.02678324672394655,0.06666666666666667,0.9027635933806146,0.39828822148065757,0.0,0.004999999999999998,0.16666666666666666,0.7777777777777778,0.21805555555555559,0.18673611111111113,0.4166666666666667,0.0,0.0,0.0
transition_mid,transition,9-15,1.4,I am waiting for the printer,3,0.013224645091749443,0.037037037037037035,0.7888993023249316,0.5117060468421704,0.0,0.017673611111111112,0.19642857142857142,0.8042328042328042,0.3659722222222222,0.11994479413713727,0.3333333333333333,0.0,0.0,0.0
transition_mid,transition,9-15,1.4,The laundry basket by the door,3,0.0,0.0,0.9287209302325582,0.6672560207991243,0.0,0.055357142857142855,0.16666666666666666,0.7936507936507936,0.3048611111111111,0.11926296793619791,0.4166666666666667,0.0,0.0,0.0
transition_mid,transition,9-15,1.4,The spreadsheet was still open,3,0.0,0.0,0.7660938581642337,0.5089670003707824,0.0,0.037606837606837605,0.35833333333333334,0.636904761904762,0.21736111111111112,0.2615219173475179,0.5833333333333334,0.0,0.0,0.0
transition_late,transition,16-22,0.0,A blue mug near the sink,3,0.05965405594459005,0.1922222222222222,0.7441458333333334,0.40874236806328024,0.2976190476190476,0.041375,0.375,0.48333333333333334,0.05277777777777778,0.17158098560636006,0.6666666666666666,0.0,0.0,0.0
transition_late,transition,16-22,0.0,I am waiting for the printer,3,0.005029840070088945,0.01341687499599358,0.9206565656565656,0.8532576628352491,0.0,0.01486111111111111,0.125,0.9010989010989011,0.6784722222222221,0.055622630211314306,0.4166666666666667,0.0,0.0,0.0
transition_late,transition,16-22,0.0,The laundry basket by the door,3,0.0,0.0,0.9297916666666666,0.5780277777777778,0.0,0.0105,0.041666666666666664,0.8888888888888888,0.21319444444444446,0.078124736328125,0.25,0.0,0.0,0.0
transition_late,transition,16-22,0.0,The spreadsheet was still open,3,0.0,0.0,0.9017499999999999,0.1501290322580646,0.0,0.028874999999999998,0.5416666666666666,0.3055555555555555,0.0,0.5403042561848959,0.5833333333333334,0.0,0.0,0.0
transition_late,transition,16-22,0.8,A blue mug near the sink,3,0.0,0.0,0.8546464646464647,0.34345967741935485,0.0,0.128,0.2916666666666667,0.4444444444444444,0.05277777777777778,0.23703802880181205,0.75,0.0,0.0,0.0
transition_late,transition,16-22,0.8,I am waiting for the printer,3,0.024834642859391787,0.04353662037838322,0.928375,0.4463836670374491,0.0,0.08583333333333333,0.30833333333333335,0.6333333333333333,0.2152777777777778,0.20507622136773007,0.5,0.0,0.0,0.0
transition_late,transition,16-22,0.8,The laundry basket by the door,3,0.00911111111111111,0.022222222222222223,0.8666666666666667,0.3077750587072056,0.0,0.0,0.0,1.0,0.16111111111111112,0.05545138888888889,0.25,0.0,0.0,0.0
transition_late,transition,16-22,0.8,The spreadsheet was still open,3,0.07458417484819123,0.18333333333333335,0.9401181117510308,0.6641895470275615,0.0,0.002333333333333333,0.041666666666666664,0.9666666666666667,0.5861111111111111,0.043641205246310766,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0
transition_late,transition,16-22,1.1,A blue mug near the sink,3,0.1072161572580645,0.18333333333333335,0.9555372786286003,0.2818234458039798,0.0,0.057793650793650786,0.4166666666666667,0.4166666666666667,0.016666666666666666,0.3751075075954861,0.75,0.0,0.0,0.0
transition_late,transition,16-22,1.1,I am waiting for the printer,3,0.043505555555555554,0.10555555555555556,0.9261646586345381,0.8782138752052546,0.0,0.003517156862745098,0.11904761904761905,0.8796296296296297,0.6791666666666666,0.06427328255497554,0.4166666666666667,0.0,0.0,0.0
transition_late,transition,16-22,1.1,The laundry basket by the door,3,0.11977886732974911,0.18333333333333335,0.8322737127371274,0.1775528364849834,0.20000000000000004,0.05145833333333333,0.7083333333333334,0.16666666666666666,0.0,0.5518393229166666,0.5833333333333334,0.0,0.0,0.0
transition_late,transition,16-22,1.1,The spreadsheet was still open,3,0.0,0.0,0.9465093934514224,0.610212643678161,0.0,0.02,0.08333333333333333,0.8888888888888888,0.3430555555555556,0.08736159722222221,0.4166666666666667,0.0,0.0,0.0
transition_late,transition,16-22,1.4,A blue mug near the sink,3,0.0,0.0,0.8553543209876544,0.36429359782474363,0.0,0.03193181818181818,0.4375,0.4444444444444444,0.06944444444444443,0.3620654676649306,0.5,0.0,0.0,0.0
transition_late,transition,16-22,1.4,I am waiting for the printer,3,0.015313694316538402,0.044444444444444446,0.8080815423380784,0.5915440613026821,0.21590909090909094,0.029479166666666667,0.44642857142857145,0.4682539682539682,0.30763888888888885,0.25489213278414025,0.6666666666666666,0.0,0.0,0.0
transition_late,transition,16-22,1.4,The laundry basket by the door,3,0.0,0.0,0.8466666666666667,0.46091351501668526,0.0,0.11,0.2916666666666667,0.6166666666666667,0.08888888888888889,0.25500107204861117,0.5,0.0,0.0,0.0
transition_late,transition,16-22,1.4,The spreadsheet was still open,3,0.0110040850258861,0.022222222222222223,0.7307944896115628,0.45845423927821044,0.0,0.028499999999999998,0.1875,0.7333333333333334,0.21597222222222223,0.16388719499782986,0.5833333333333334,0.0,0.0,0.0
